snr_single,snr_avg,chi2_red,npe_selfconsistency,heldout_rms_z,covered95_allheldout
24.3294,59.5947,0.29670,10.53499,13.02928,0
28.8688,70.7138,0.47113,24.77557,27.28317,0
18.0915,44.3149,0.23391,8.96305,10.47218,0
29.5301,72.3337,1.91175,23.63035,27.81018,0
31.5168,77.2000,1.63458,25.28796,30.61813,0
33.4370,81.9037,2.02255,26.76772,30.62863,0
12.0543,29.5269,0.07168,4.91770,5.61206,0
26.8624,65.7991,0.51586,10.47650,11.98594,0
10.5513,25.8453,0.79634,5.97473,6.83510,0
39.4567,96.6488,1.46082,28.89505,37.32122,0
31.9562,78.2763,1.48566,20.25543,24.03359,0
21.6530,53.0388,0.18786,14.75206,17.09411,0
21.1617,51.8354,1.62815,14.21225,17.67952,0
23.7569,58.1924,0.03500,14.09085,18.36094,0
33.9276,83.1054,0.44918,20.08359,22.80445,0
28.9089,70.8119,10.81109,20.93457,23.35347,0
30.0853,73.6936,0.58456,21.33292,25.42490,0
48.4287,118.6256,4.26054,19.48718,21.75989,0
39.3100,96.2894,2.10160,21.88376,27.46790,0
33.8210,82.8441,6.02647,22.05357,25.60693,0
22.9002,56.0939,0.09643,19.09627,22.18022,0
17.8771,43.7898,78.81366,21.66789,26.52275,0
34.1867,83.7400,0.83591,27.27719,31.83429,0
33.2606,81.4715,0.48802,18.64016,22.99750,0
39.8635,97.6451,2.04895,19.20048,22.76711,0
31.8272,77.9604,0.17731,21.25098,25.99794,0
16.4271,40.2381,1.57133,10.26250,11.40846,0
31.7733,77.8284,2.35422,15.03459,18.81541,0
34.2740,83.9538,1.40537,22.52527,25.88358,0
46.5735,114.0813,0.58836,30.90387,35.81020,0
23.8060,58.3126,0.26300,19.21361,22.25031,0
45.7142,111.9764,1.98541,23.55808,27.36480,0
44.2290,108.3386,0.25130,25.93857,34.24801,0
28.5363,69.8995,0.42594,19.77056,22.23657,0
47.7623,116.9932,0.05919,29.41821,33.99716,0
15.0816,36.9423,7.34653,13.11356,15.65948,0
34.0786,83.4753,6.51874,24.47388,30.93040,0
28.3806,69.5180,0.44418,21.31644,24.06852,0
35.7099,87.4710,4.46178,19.41702,23.03833,0
27.2386,66.7207,4.05303,6.28662,6.87993,0
17.9738,44.0266,0.73191,8.09369,9.66215,0
16.5992,40.6595,0.00050,11.47416,13.94044,0
33.5244,82.1178,0.02967,27.35787,31.72819,0
27.5605,67.5092,1.38143,21.68987,25.57571,0
35.6968,87.4389,0.25665,9.39607,12.60127,0
30.6256,75.0170,0.63792,15.37227,17.85712,0
16.0040,39.2016,0.01683,11.35872,11.51194,0
13.2895,32.5526,5.04590,12.00062,14.10701,0
25.2280,61.7958,8.43858,18.66908,20.44163,0
26.9151,65.9282,7.48421,16.55902,18.67464,0
41.4718,101.5847,2.49291,26.23361,30.06641,0
10.8112,26.4820,0.04934,5.56916,6.51886,0
26.0631,63.8413,17.96807,20.30389,25.61506,0
21.6520,53.0364,1.52251,14.47232,16.51659,0
27.2443,66.7347,0.10951,20.16454,22.28786,0
18.6993,45.8037,1.58020,15.26835,21.01845,0
31.3591,76.8138,4.18434,14.51978,16.83974,0
29.4921,72.2407,0.61920,17.90305,20.62773,0
24.0403,58.8865,1.34195,13.13084,16.42210,0
32.5023,79.6142,0.09248,18.79418,21.71866,0
24.9551,61.1273,1.57335,16.05989,19.40406,0
38.6070,94.5675,0.01071,28.16219,33.66266,0
13.3667,32.7416,1.16651,3.14448,3.67867,0
36.2901,88.8922,1.08572,23.85661,27.90604,0
23.3873,57.2870,2.50423,18.08929,20.27973,0
34.1406,83.6272,0.84290,11.09898,13.24987,0
27.2482,66.7443,0.38401,23.49876,26.80767,0
37.0720,90.8074,0.60482,16.07174,18.75800,0
20.4599,50.1163,0.25981,2.86836,3.26634,0
15.5769,38.1554,71.73853,15.34812,17.64543,0
18.9796,46.4903,0.03944,14.05713,16.11648,0
33.3488,81.6875,1.27123,22.97484,26.77469,0
33.7475,82.6641,0.41319,21.76700,27.01655,0
15.3158,37.5158,1.07951,10.06640,12.29696,0
35.7425,87.5510,3.55804,22.32557,25.61689,0
17.1742,42.0680,0.42781,13.83468,15.91238,0
